id, 1hr, 2hr, 3hr, 4hr, 6hr, 7hr, 8hr, 9hr,10hr
S0_M_T1210,7.3181,7.1178,6.4937,5.8738,6.3099,6.4629,5.4953,5.0086,4.892
S0_M_T1211,7.503,6.9871,6.3644,5.9055,5.8074,5.6704,3.7298,3.55,3.3091
S0_M_T1212,7.503,7.1403,6.6498,6.1633,6.1766,5.5069,4.4953,3.2664,3.402
S0_M_T1213,8.1486,7.751,7.1718,6.8898,6.6818,6.863,5.8002,5.0817,4.7925
S0_M_T1214,7.392,6.9365,6.4519,6.3127,5.746,5.1485,4.2152,3.2224,3.2224
S0_M_T1215,9.2981,8.8395,8.1653,7.7998,7.6654,7.514,6.5576,5.6605,4.8596
S0_M_T1216,6.8572,5.9627,5.2713,4.7743,4.6818,3.7702,3.2224,3.2224,3.2224
S0_M_T1217,7.1578,6.6529,6.0923,5.7395,5.0298,5.0726,3.8673,3.6494,3.2224
S0_M_T1218,6.4217,6.0124,5.4519,4.9055,5.1293,5.3549,4.3147,3.7868,3.2224
S0_M_T1219,8.4958,7.7799,7.0226,6.5914,6.3517,6.1298,5.4078,4.1345,3.6495
S0_M_T1220,5.4518,5.2598,4.8239,4.1893,3.5443,4.1112,3.2224,3.2224,3.2224
S0_M_T1221,5.6576,5.4878,4.9494,4.2889,4.3923,4.4481,3.7298,3.2224,3.2224
S0_M_T1222,6.4217,5.8847,5.3186,5.24,4.8074,4.507,4.1083,3.2224,3.2224
S0_M_T123,6.4217,5.715,5.1718,4.7743,4.3923,3.9507,3.2224,3.2224,3.2224
S0_M_T1243,6.0718,5.7738,5.0083,4.382,3.5443,3.2224,3.2224,3.2224,3.2224
S0_M_T1251,5.9201,5.4878,4.8239,4.2889,3.2224,3.2224,3.2224,3.2224,3.2224
S0_M_T1252,5.8795,5.3783,4.7567,3.9669,3.2224,3.2224,3.2224,3.2224,3.2224
S0_M_T1263,6.4217,5.8023,5.4937,4.5519,3.2224,3.2224,3.2224,3.2224,3.2224
S0_M_T1279,7.4206,6.744,6.2713,5.8414,5.6147,5.5355,4.4953,3.2224,3.2224
S0_M_T1280,9.2027,8.5758,8.3244,8.0186,7.58,7.3866,6.2905,4.8294,4.892
S0_M_T13,5.506,5.3783,5.0649,4.7743,3.8074,4.0332,3.4078,3.3278,3.2224
