True_Degradation_Rate,Predicted_Degradation_Rate
-5.0,-3.0585106606950125
-1.3523,-1.151838987917826
-3.305,-2.7584581170003757
-2.7742,-2.5215065165962813
-1.8274,-1.6223794118157429
-1.5055,-1.650676071634172
-2.8156,-2.235703675574341
-1.351,-1.4205929470062277
-0.88404,-1.0697184858988518
-2.7188,-2.365542350951908
-1.9304,-2.0759007535831664
-2.1926,-2.208773819060407
-1.7315,-1.652292862539274
-1.5829,-1.7013721329657248
-2.381,-1.8414671141630707
-1.9365,-1.8630182594888915
-2.4312,-2.1086395164035685
-2.0462,-2.044633884191706
-1.5768,-1.928317423209096
-1.788,-1.5002457567366758
-1.5648,-1.8799020743253423
-0.90002,-1.816741424942906
-2.244,-2.3343169374755632
-1.8002,-1.5563717836014115
-2.3447,-2.09428001450255
-2.7547,-2.776591029783899
-1.5154,-1.6229101593386364
-1.5788,-2.123700614638319
-2.4318,-2.1339566546884146
-2.5313,-2.588066363418228
-2.4012,-2.7818091068818585
-1.9809,-2.108436481479353
-1.4947,-1.5624823122682598
-1.6845,-1.5309932220374076
-2.6307,-2.0750286553410793
-1.7272,-2.0963291654748657
-1.3683,-1.6066205926807267
-1.8819,-2.1405625608142866
-2.7358,-2.509573374873627
-2.607,-2.4561407543057734
-1.53,-1.342690902256388
-3.2303,-2.4863052417000295
-1.8692,-1.8988365678192338
-1.512,-1.6592255223855101
-1.9001,-2.0979011375270487
-2.5484,-2.2653646469601787
-1.463,-1.5869111274029373
-1.8926,-1.8424239524020352
-3.0781,-2.7590210853110175
-2.7027,-2.632942218861209
-1.9777,-2.273223447083023
-1.7161,-1.8411705302106691
-2.0,-2.2863029719633974
-1.6132,-1.730935820312731
-2.6214,-2.3115666184025327
-1.7355,-1.65088465105686
-1.4514,-1.50650770722811
-2.3955,-2.6544054899628606
-1.9581,-2.0712232638181702
-2.6229,-2.083768562884338
-1.6927,-1.530796825881534
-1.8203,-1.8499228988818515
-1.4152,-2.5101937617688925
-2.6137,-2.403109212446142
-1.4129,-2.1247297936124068
-1.3182,-1.318783254311131
-1.261,-1.0934839802496326
-1.0613,-1.384735467297682
-1.5698,-2.4857921024796825
-2.3007,-2.5172264762107806
-1.2317,-1.6703690977874412
-1.8732,-1.718170231377549
-2.2083,-1.6915234880895187
-1.333,-2.390957189239409
-1.2865,-1.2526488112459817
-1.934,-1.910587791178069
-2.1991,-2.3133206898389576
-2.6288,-2.288946074379756
-1.3415,-1.2932054896891172
-1.1459,-1.3086714791517207
-2.0821,-2.487780212072953
-2.8736,-2.619257784743311
-2.9766,-2.5219546319238995
-2.1107,-1.2744683890021384
-2.023,-1.9334884663204739
-1.1137,-1.087005369321133
-2.4762,-2.1447058690390395
-1.465,-1.4105896255618635
-2.5502,-2.66132078183697
-2.5737,-2.453865554604272
-2.2717,-2.0199241089940103
-1.2299,-1.8261915129023527
-1.5824,-1.7549129305822992
-1.303,-1.1813803750747802
-0.98872,-1.0661310444363568
-1.5635,-1.4868114875563014
-3.322,-2.9939675550157014
-1.8071,-1.834477610431936
-2.6954,-2.4499347845432524
-1.6292,-2.1572465790017636
-2.6989,-2.504573661939811
-1.8864,-1.6608963310882068
-1.9188,-1.8619433248876127
-2.5876,-1.7429152579660967
-5.0,-2.378628580712456
-2.043,-2.4871102702674555
-1.503,-1.535667171452566
-1.0658,-1.359001851454086
-1.6962,-1.4687191901185497
-2.0641,-2.4574392920663013
-1.1868,-1.8827159631636303
-2.0855,-2.1391668255191822
-2.9161,-2.1700123778540066
-2.6537,-2.3109867289624604
-2.3246,-2.1173859829547848
-1.1666,-1.05395882631059
-1.8495,-2.1382004266539894
-1.39,-1.476687048294795
-1.8894,-1.554761047050766
-2.1606,-1.7953523282946071
-1.9454,-2.297453583997176
-1.6354,-1.9681016524416794
-1.9944,-1.5170333136244167
-2.7524,-3.169822077245543
-1.8585,-1.92938621811934
-5.0,-2.7435393589747714
-1.4997,-1.6950103801572716
-2.1174,-2.1238046432165243
-1.4107,-1.2157787074485065
-1.7148,-1.7342072902391268
-1.8485,-1.6024249307487926
-1.7144,-2.2398677931187274
-1.9328,-1.3486939836864917
-2.1972,-2.088596385241131
-1.6155,-1.3923731336550484
-1.8345,-2.103247914416787
-1.8044,-2.0505955561563987
-2.9154,-2.805871952513091
-2.2206,-1.9315683993069281
-1.13,-1.6120424955903547
-1.5091,-1.61794287519136
-1.3342,-1.6836549502673295
-1.7542,-1.6860004347977389
-2.159,-2.1074996672928235
-1.3779,-1.076913412321542
-2.0204,-2.0453542333062544
-3.0154,-2.627217554289299
-1.5941,-1.30396134062266
-1.5981,-1.719511729486554
-1.0577,-1.2627796832873752
-2.363,-1.8779393363379975
-1.2558,-2.1405382563129645
-1.7204,-1.6586859147655244
-2.6521,-2.4082830808264077
-1.5632,-1.6566761474462226
-1.948,-1.2491782944887442
-1.818,-1.6946189297189687
-2.0966,-2.2271520474311792
-1.8168,-1.787763806816012
-2.4509,-2.1554618872957994
-2.2473,-2.1762847808162125
-5.0,-3.2566533584154658
-2.5564,-1.824066244977486
-2.5174,-2.6787234613487865
-1.2466,-1.457434293196045
-2.4121,-2.2059723171021317
-1.6672,-1.3421361081938328
-2.1007,-1.9401242528621667
-1.2175,-1.5399847106011115
-2.8144,-2.187029928801637
-1.8926,-1.466492939394235
-1.0346,-1.813388729272186
-2.1186,-1.5922099297076426
-2.0169,-1.7714705035435054
-2.2923,-2.252345158796308
-2.4081,-2.463637214798785
-1.8466,-1.884276095473612
-2.3177,-2.0926073831021696
-2.8658,-2.705084699940204
-2.1234,-2.330354199362617
-1.4658,-1.4575379293352537
-3.1615,-2.894568023819134
-1.2898,-1.9052835047676566
-1.5367,-1.259391221755956
-1.6524,-2.05286159787991
-2.194,-2.3343918303095403
-2.3935,-2.964178151674214
-2.2157,-2.051526041998212
-1.3544,-1.288806942240516
-2.2224,-2.5976445041103835
-1.3305,-1.6414698122550746
-2.6738,-2.469814664916789
-2.6199,-2.7629409306173205
